val/loss,epoch,step,train/loss
0.1776549518108368,0,843,
,0,843,0.26201534271240234
0.17477571964263916,1,1687,
,1,1687,0.14506687223911285
0.27789875864982605,2,2531,
,2,2531,0.11503832787275314
0.28697431087493896,3,3375,
,3,3375,0.10013041645288467
4.010880947113037,4,4219,
,4,4219,0.09136344492435455
0.30016273260116577,5,5063,
,5,5063,0.08624016493558884
